sample	n_reads	total_bases_gb	mean_read_length	median_read_length	n50_read_length	mean_read_quality	median_read_quality	group
H1_R	1552394	1.971358245	1269.9	368	4641	16.7	17.7	Hospital
H2_R	397829	1.375282434	3457	1628	7660	16.7	17.6	Hospital
H2_D	471696	1.4641255	3104	2102	5691	15.3	16.8	Hospital
H3_R	981073	3.468443735	3535.4	2144	7211	16.3	17.1	Hospital
H3_D	638720	1.152661033	1804.6	618	4732	15.5	17.1	Hospital
H4_R	1117484	2.369420486	2120.3	644	5484	16.3	17.1	Hospital
H4_D	2251883	3.1627342450000002	1404.5	588	3322	15.1	16.5	Hospital
C1	2747491	2.577612503	938.2	379	2260	15.2	16.7	Community
C2	1008835	1.078372618	1068.9	455	2463	15.5	17.2	Community
C3	664940	1.80100916	2708.5	1469	5429	15.3	16.8	Community
C4	113268	0.287502737	2538.3	1158	5496	15.2	16.7	Community
C5	774142	1.713289719	2213.1	722	5629	15.3	16.9	Community
C6	2073058	1.401215828	675.9	342	1177	15.4	17	Community
C7	1876902	1.810546484	964.6	367	2682	15.7	17.4	Community
C8	88134	0.207991255	2359.9	1360.5	4459	15.1	16.6	Community
